game,game_id,hours_watched,airtime_hours,peak_viewers,peak_channels,unique_channels,average_viewers,average_channels
SCP: Secret Laboratory,61199,515510,11862,169947,126,4025,715.9861111,16.475
Brawlhalla,46240,6249596,97415,168428,282,35556,8679.994444,135.2986111
Sports,0,4852423,42131,166626,163,18511,6739.476389,58.51527778
Dead by Daylight,52693,23909522,1172986,164319,3972,144543,33207.66944,1629.147222
Music,0,18953710,707852,155543,1857,73498,26324.59722,983.1277778
ArcheAge,34413,1958134,32808,155023,127,8286,2719.630556,45.56666667
Monster Strike,48101,832781,5113,153479,67,403,1156.640278,7.101388889
Doom Eternal,68917,749371,51828,153468,196,13997,1040.793056,71.98333333
Human: Fall Flat,53648,574905,22772,151740,141,12446,798.4791667,31.62777778
Hearthstone,42033,28815519,216765,146359,1022,24696,40021.55417,301.0625
Genshin Impact,73982,17892245,866422,143844,3559,135003,24850.34028,1203.363889
Quiplash,50183,66854,1680,140097,20,1108,92.85277778,2.333333333
Quiplash 2 interlashional,0,714360,662,136921,26,364,992.1666667,0.919444444
Tom Clancy's Rainbow Six Siege,46562,12869987,924006,135881,2443,211268,17874.98194,1283.341667
"Momotaro dentetsu: showa, heisei, reiwa mo teiban!",0,2099948,6331,135001,151,1043,2916.594444,8.793055556
Visage,56806,2935128,49411,134749,559,10936,4076.566667,68.62638889
Family Feud,26419,488844,655,134418,9,318,678.95,0.909722222
Pewdiepie's pixelings - idle rpg collection game,0,273627,4,132815,2,3,380.0375,0.005555556
In Silence,80957,1365979,25818,132395,314,11730,1897.193056,35.85833333
Deportes,0,77583,88,132019,3,46,107.7541667,0.122222222
Adopt me!,0,1600902,4781,131998,56,669,2223.475,6.640277778
NBA 2K21,78964,12149739,544787,130977,1793,100167,16874.6375,756.6486111
FIFA 16,49601,2832207,14077,128579,137,6493,3933.620833,19.55138889
Call of Duty: Mobile,73590,8359896,398723,127005,1113,84169,11610.96667,553.7819444
Super Smash Bros. Ultimate,66900,3330531,143273,124624,587,17186,4625.7375,198.9902778
Until Dawn,39358,963251,13037,124213,197,3519,1337.848611,18.10694444
NBA 2K16,49866,1251397,18357,122840,151,7493,1738.051389,25.49583333
Slots,0,13932874,84933,122375,225,4711,19351.21389,117.9625
Clash of Clans,40108,1773489,41799,121377,168,8217,2463.179167,58.05416667
Immortals fenyx rising,0,1040388,2855,119019,150,670,1444.983333,3.965277778
Sackboy: A Big Adventure,78956,612815,6829,118840,53,2327,851.1319444,9.484722222
Friday the 13th: The Game,48132,647619,27051,116875,448,11536,899.4708333,37.57083333
Who Wants To Be A Millionaire?,34728,717733,819,116629,11,432,996.8513889,1.1375
Pokémon Platinum,21676,517843,16737,116118,65,2753,719.2263889,23.24583333
World of Tanks,30567,13953057,222503,114998,842,19605,19379.24583,309.0319444
Skribbl.io,59462,634930,18903,114593,127,12317,881.8472222,26.25416667
The Sims 4,42574,2277340,113931,112663,395,24665,3162.972222,158.2375
Summoners War,49061,1614306,23045,112490,80,1855,2242.091667,32.00694444
Chess,0,8038313,54114,112102,167,9743,11164.32361,75.15833333
The Dark Pictures Anthology: Man of Medan,69991,626793,23587,110673,206,8542,870.5458333,32.75972222
Godfall,76343,2834176,68434,108487,810,13300,3936.355556,95.04722222
Dragon quest characters: torneko no daibōken 3,0,2931732,341,105867,7,30,4071.85,0.473611111
Talk Shows & Podcasts,0,6928251,135611,105191,438,30611,9622.570833,188.3486111
Golf With Your Friends,52572,739435,15249,104383,93,7582,1026.993056,21.17916667
Mario Kart 8,42929,1693770,41525,104189,256,9709,2352.458333,57.67361111
Puzzle & Dragons,41878,230578,1704,104099,28,250,320.2472222,2.366666667
Rogue Company,75051,2146928,366416,101525,1562,96865,2981.844444,508.9111111
Five Nights at Freddy's,47425,843074,39389,99943,460,34570,1170.936111,54.70694444
Outlast,40089,669846,40744,99524,712,17856,930.3416667,56.58888889
Marvel Contest of Champions,47169,1429202,46588,98067,142,14375,1985.002778,64.70555556
Bugsnax,78965,1839601,25260,97656,243,7416,2555.001389,35.08333333
Pummel Party,70267,946558,17029,97587,135,6424,1314.663889,23.65138889
Mission Against Terror,40582,2342019,13707,97523,129,5018,3252.804167,19.0375
Destiny,36067,815860,17721,97045,228,4534,1133.138889,24.6125
Keep Talking and Nobody Explodes,47445,282682,4562,96766,31,1718,392.6138889,6.336111111
Are You Smarter Than a 5th Grader?,25588,84342,14,96375,4,20,117.1416667,0.019444444
Final Fantasy XIV Online: A Realm Reborn,26847,2390169,235847,95706,860,21225,3319.679167,327.5652778
Pokémon Sword/Shield,59938,7277623,233030,91355,754,21179,10107.80972,323.6527778
7 Days to Die,43583,3072317,171409,76213,455,21336,4267.106944,238.0680556
Euro Truck Simulator 2,40197,9107420,180834,70959,619,25657,12649.19444,251.1583333
